program,language,question,answer
MiM,German,"Kann ich im 3. Semester des MiM Programms max. 1 Advanced Seminar und 2 Limited Courses belegen, also max 18 ECTS?","Grundsätzlich ist dein Studienprogramm so strukturiert, dass du idealerweise jedes Semester 30 Credits erfüllst. Advanced Seminars und Other Limited Courses sind keine Pflicht, aber empfehlenswert zu belegen. Die Anzahl der Advanced Seminars bzw. Other Limited Courses, die du belegen kannst, hängt davon ab, wo du einen Fixplatz erhaltest. Es gibt keine Vorgaben bei der Wahl deiner Electives, sodass du jegliche Module wählen kannst, die unter den wirtschaftswissenschaftlichen Wahlmodulen bzw. den sonstigen wirtschaftswissenschaftlichen Wahlmodulen in deinem Studienbaum in TUMonline aufgeführt sind."
MiM,German,"Ist es notwendig, dass ich mich für die Anerkennung des Kurses bei der Hochschule für Philosophie immatrikuliere? Oder reicht es, wenn jemand schriftlich bestätigt, dass ich an den Vorlesungen und der Klausur am Ende teilgenommen habe? Zudem hatte mich jemand anders gebeten herauszufinden wie die Prüfungsleistung ausschauen muss, damit die TUM diese akzeptiert? Ist eine schriftliche Klausur Voraussetzung, oder wäre auch eine mündliche Klausur akzeptabel?",Eine Anmeldung müsste daher über TUMonline problemlos möglich sein und du müsstest auch nach Ablegen des Moduls keinen Antrag auf Anerkennung stellen. Die Prüfungsmodalitäten für dieses Modul sind ebenfalls festgelegt und du kannst diese beim Klicken auf das Buchsymbol in TUMonline auch einsehen.
MiM,German,"Kann ich mich für Veranstaltungen anmelden und zu diesen erscheinen, auch wenn ich bis zum Semesterstart noch nicht vollständig an der TUM School of Management immatrikuliert bin und das Abschlusszeugnis meines Bachelors noch nachreichen muss? Was passiert im Falle einer verzögerten Immatrikulation hinsichtlich der Modulanmeldung und Teilnahme an Veranstaltungen?","Ja, du kannst und solltest zu den Lehrveranstaltungen erscheinen, auch wenn du zu Vorlesungsbeginn noch nicht vollständig immatrikuliert bist. Es empfiehlt sich, die gewünschten Lehrveranstaltungen zu besuchen und sich nachträglich über TUMonline anzumelden, sobald die vollständige Immatrikulation erfolgt ist. Dies gilt besonders für Pflichtmodule, die in den ersten zwei Semestern belegt werden sollten, und für die auch Übungen und Tutorien angeboten werden, für die eine Anmeldung ebenfalls über TUMonline möglich ist. Die Immatrikulation setzt die Einreichung aller erforderlichen Dokumente voraus, einschließlich des BA-Abschlusszeugnisses, das nachgereicht werden kann, sofern dies im Zeitrahmen des ersten Semesters erfolgt."
MiM,German,"Kann ich die oben genannten Module aus meinem Bachelorstudium für bestimmte Pflichtmodule meines Masterstudiengangs anerkennen lassen und insbesondere zwei Module aus dem Bachelor für das eine Modul im Master?","Ja, eine Anerkennung vorab abgelegter Module ist möglich, wenn keine wesentlichen Unterschiede hinsichtlich der Lernergebnisse bestehen. Die Entscheidung darüber trifft der jeweilige Modulverantwortliche des MiM-Studiengangs. Es ist auch möglich, sich zwei Module für ein Modul anerkennen zu lassen, wenn die inhaltliche Passung und Lernziele äquivalent sind. Eine Vorabprüfung wird nicht durchgeführt, und man muss sich zunächst entscheiden, ob man den Anerkennungsprozess beginnen möchte."
MiM,English,Can you assist with the issue of being rejected from all seminar courses due to incorrect preferences?,"Unfortunately, if you have chosen the incorrect preferences, you are excluded from the seminar’s allocation procedure. However, you could attend the kick-off event of the seminars you are interested in, as there might be open spots due to no-shows of other students who had been allocated a place."
MiM,English,"Given my previous academic achievements and the B1 certificate, am I sufficient to fulfill the German language requirements for my new degree program?","For the Master in Management, you have to provide proof of proficiency in German at level A 1.1 at the end of your second semester at the latest. With your prior courses and certificates in German, you fulfill this requirement."
MiM,German,"Ist das „soll“ in der FSPO §46 (3), welches aussagt, dass die Masterarbeit in Englisch verfasst werden soll, also eigentlich ein „muss“ oder ist das nur ein Wunsch?","Das „soll“ ist tatsächlich kein „muss“. Auch in der Modulbeschreibung des Moduls „Master Thesis“ in TUMonline ist die Sprache mit Deutsch/Englisch angegeben, und es kommt vor, dass Studierende ihre Arbeit in Deutsch schreiben, wenn es zum Thema passt. Der Abfassung deiner Masterarbeit auf Deutsch steht also aus administrativer und rechtlicher Perspektive nichts im Wege."
MiM,English,"If I start writing my thesis in July, can I still register for subjects in the next WS? Or do I have to complete all my credits this SS? More generally, is it possible to have pending credits after submitting the master's thesis?","Your thesis should be your last exam, but this is not mandatory. You can still take modules after submission of your thesis. This also means that you do not have to complete all required credits this summer semester."
MiM,English,What does the FRV column signify in the TUM online page under a student's file?,"FRV stands for ""Fristverlängerung"" which means deadline extension. It indicates the number of Covid-related study extensions granted to the student, to accommodate any problems arising from the Covid-19 pandemic. For the student who inquired, the number 3 in the FRV column means they were granted 3 extra semesters to meet the academic progress requirements."
BMT Heilbronn,English,"Can you send me a credit transfer form and should I send it back to you when I'm done, or to someone else?",You can find an instruction on how to get credits recognized and all the necessary forms in our download section <https://www.mgt.tum.de/download-center>.
BMT Heilbronn,English,Can I combine my Project Work with my mandatory international experience by doing it abroad?,"Unfortunately, you can’t combine the international experience with the project work, because the project work is done in Munich and you have to write a scientific article there."
BMT Heilbronn,English,"Can I use the Spanish course for the module of communication skills, and get it accredited for credits and the grade? Moreover, which steps do I need to take to accredit this course and can I choose if I want to accredit it, in case my grade is below my general expectations for my GPA?","Yes, you can use the Spanish course for the module of communication skills, as long as the course has at least 3 ECTS. To accredit the course, email the grade management once the grading appears on your transcript, and they can allocate it as Communication Skills. Communication Skills is graded as pass or fail, so your grade will not impact your grades."
BMT Heilbronn,English,"Will the elective courses I registered for still take place even if the number of participants is low, or will they be cancelled, and should I register for others if needed?","The responsible professor for the elective course may decide to cancel the module if not enough people register. If that happens after the registration deadline, you can email us with the module ID of another course you'd like to take, and we will register you manually if there are spots available."
BMT Heilbronn,German,"Kann ich als Studentin alle meine Prüfungen in München ablegen, auch wenn einige Prüfungen ursprünglich in einer anderen Stadt vorgesehen sind?","Die Teilnahme an den Prüfungen in München ist leider nicht in jedem Fall ganz ohne Probleme möglich. Während die International Experience Prüfung in München geschrieben werden kann, müssen die Module, die sich inhaltlich unterscheiden, noch einmal von dem jeweiligen Professor anerkannt werden."
BMT Heilbronn,German,"Ist es möglich, ein Fach von meinem Auslandssemester anerkennen zu lassen, welches ich schon an der TUM bestanden habe; und wenn ja, würde das meine Note ersetzen (wenn ich das wollte)?","Leider ist die Anerkennung von bereits erfolgreich bestandenen Modulen nicht möglich, d.h. eine Notenverbesserung ist an der TUM nicht möglich. Du kannst dir die Veranstaltungen jedoch als Zusatzleistungen auf das TUM Zeugnis aufnehmen lassen."
MMT,German,Ist ein Wechsel des technischen Schwerpunkts von Informatik zu Industrial Engineering im Studiengang MMT noch möglich?,"Ein Wechsel ist generell möglich, allerdings nur mit Antrag an den Prüfungsausschuss, in dem du schilderst warum ein Wechsel für dich relevant ist, umsetzbar."
